artikelnummer,median
200000916,216.0
200001023,72.0
200001438,96.0
200001521,55.0
200002113,40.0
200002143,50.0
200002577,2880.0
200003011,2400.0
200003434,96.0
200004250,33.0
200004484,2100.0
200005601,1920.0
200006088,33.0
200012599,38.0
200019627,30.0
200090665,44.0
200091309,44.0
200091310,40.0
200097355,48.0
200097386,35.0
200097527,24.0
200097620,48.0
200097628,42.0
200098321,48.0
200098557,48.0
200099601,48.0
200099621,72.0
200099650,40.0
200100949,44.0
200100974,44.0
200100977,44.0
200100993,44.0
200101035,96.0
200101078,44.0
200101082,40.0
200103085,96.0
200103090,120.0
200103095,44.0
200103097,96.0
200103099,96.0
200103100,432.0
200103120,96.0
200103125,96.0
200103137,96.0
200103149,96.0
200103158,32.0
200103160,375.0
200103197,40.0
200107075,60.0
200107077,44.0
200107080,140.0
200107091,44.0
200107096,140.0
200107111,375.0
200107113,44.0
200107115,44.0
200107127,40.0
200107133,96.0
200107152,44.0
200107153,744.0
200107155,96.0
200107158,120.0
200108277,44.0
200108287,96.0
200108311,44.0
200108333,44.0
200108359,44.0
200108367,44.0
200108370,40.0
200108394,96.0
200109106,267.0
200109115,366.0
200109118,44.0
200109124,44.0
200109136,44.0
200109141,96.0
200109148,44.0
200109158,132.0
200109166,26.0
200109173,32.0
200109189,96.0
200109194,44.0
200109209,96.0
200109211,140.0
200110295,44.0
200110308,40.0
200110313,44.0
200110319,96.0
200110320,96.0
200110349,120.0
200110363,44.0
200110367,96.0
200110369,16.0
200110372,44.0
200110373,84.0
200110375,30.0
200110379,44.0
200110380,96.0
200110394,96.0
200110411,96.0
200110415,140.0
200147219,768.0
200147643,512.0
200147908,384.0
200149767,128.0
200150020,128.0
200150416,768.0
200150951,128.0
200151413,144.0
200152250,384.0
200152323,256.0
200152698,108.0
200155374,384.0
200155377,256.0
200155398,24.0
200156114,768.0
200158216,456.0
200158273,59.0
200159086,186.0
200159843,512.0
200159874,256.0
200159962,128.0
200159964,512.0
200159965,128.0
200159998,256.0
200160020,6.0
200160172,512.0
200160181,128.0
200160183,128.0
200160721,384.0
200160752,144.0
200160900,240.0
200161094,256.0
200161111,144.0
200161112,144.0
200161287,96.0
200161297,128.0
200161431,512.0
200161607,512.0
200161609,512.0
200161639,512.0
200162705,152.0
200162827,304.0
200162899,119.5
200162933,256.0
200163067,512.0
200163302,384.0
200163354,144.0
200163472,144.0
200163770,384.0
200163968,512.0
200163978,128.0
200164016,384.0
200165644,512.0
200165653,128.0
200165967,256.0
200166530,144.0
200166726,768.0
200166734,512.0
200167757,288.0
200167988,44.0
200171828,44.0
200178253,6.0
200181430,6.0
200195150,100.0
200204076,60.0
200208049,48.0
200208083,48.0
200208223,100.0
200209401,80.0
200209493,60.0
200221615,144.0
200234938,480.0
200234944,192.0
200251147,40.0
200272147,44.0
200272149,770.0
200272153,44.0
200272170,24.0
200272179,120.0
200272181,120.0
200272215,44.0
200272234,120.0
200272282,44.0
200272292,120.0
200272314,120.0
200272320,33.0
200272343,120.0
200272361,44.0
200273486,44.0
200273543,30.0
200273545,44.0
200273547,120.0
200273553,324.0
200276164,44.0
200276222,44.0
200276263,420.0
200276265,44.0
200276272,120.0
200276283,44.0
200276306,210.0
200276330,480.0
200276342,44.0
200276345,44.0
200276354,44.0
200276356,324.0
200276360,140.0
200276378,45.0
200276390,210.0
200276400,480.0
200276428,44.0
200276440,120.0
200276478,324.0
200276501,120.0
200277217,48.0
200281319,127.0
200284845,6.0
200291678,44.0
200291682,120.0
200291693,120.0
200291695,324.0
200291711,120.0
200291721,120.0
200291812,7.0
200291814,44.0
200291824,480.0
200291849,120.0
200291854,210.0
200291856,420.0
200291860,120.0
200291873,40.0
200291915,44.0
200292425,44.0
200292454,120.0
200292464,44.0
200292472,126.0
200292500,270.0
200296216,120.0
200296249,120.0
200296265,420.0
200296272,44.0
200296334,44.0
200296348,120.0
200296386,120.0
200296388,44.0
200296390,120.0
200297383,120.0
200297388,120.0
200297405,44.0
200297406,420.0
200297408,44.0
200297460,324.0
200297513,324.0
200297517,210.0
200297540,770.0
200297624,24.0
200297629,120.0
200297630,120.0
200297646,44.0
200298506,420.0
200309961,12.0
