Kund	Kund	Adress	"Post nr"	Ort	Pallhöjd	Palltyp	Timestamp	Multi	"Pall reg"	"Text 1"	"Text 2"	Lager	Lastbärare	Bitfield	"Mellanpalls höjd"	"Pack instr"	"Auto filma"	Bolag	Beställargrupp	Säljare	"Lägg till paket"	"Dela order"	"Standard Transportörsnr"	Land	"Adress namn"	"Utökat plock"	EMail	Telefon	GLN	Plockzon	"Leverans text"	"SRS id"	"Extern kundgrupp"	Provins	"Adress 2"	"Adress 3"	"Skriv ut följesedel"	"Master kundnr"
110	"Bolist Västanhede"	"BUSKAVÄGEN 19"	"774 98"	HORNDAL	0		"2026-01-05 12:12:01"	Y					0	192	0	"Bygg på höjden Max 180 cm"		MG					74	SWE			info@vhtj.se	0226-71039									Y	
111	"Hultsfreds Järnvaruaffär"	"ANDERSBOVÄGEN 17"	"577 34"	HULTSFRED	0		"2026-03-04 10:09:04"	Y					0	192	0	"MAX 135cm"		MG					69	SWE			info@h-jarn.se	0495-14030									Y	
122	"Järnboden i Mariefred AB"	"STORGATAN 8"	64730	Mariefred	0		"2026-03-24 09:19:00"	Y					0	192	0	"Bygg på höjden Max 180 cm"		MG					78	SWE			KONTORET@JARNBODEN-MARIEFRED.SE	0159-10690			"Öppnar kl: 0900"						Y	
133	"Wirströms Järn & Färg"	"KOCKSGATAN 5"	"116 24"	STOCKHOLM	0		"2026-01-05 12:12:01"	Y					0	192	0	"Bygg på höjden Max 180 cm"		MG					42	SWE			info@wirstroms.se	08-6400924										
137	"Handelsgruppen Sälen"	"VÄSTRA LÅNGSTRAND 221"	"780 67"	SÄLEN	0		"2026-01-05 12:12:02"	Y					0	192	0	"Bygg på höjden Max 180 cm"		MG					74	SWE			salen@handelsgruppen.se	010-4719520										
145	"Eskilstunaboden AB"	"BONDEGATAN 6"	"573 74"	Ydre	0		"2025-10-07 07:33:00"	Y					0	192	0	"MAX 135cm"		MG					67	SWE			info@ESKILSTUNABODEN.SE	0381-60350										
146	"Allert Järn & Bygg AB"	"ÖDÄNGSVÄGEN 4"	"590 38"	KISA	0		"2025-10-07 07:34:00"	Y					0	192	0	"Bygg på höjden Max 180 cm "		MG					51	SWE			inbox@jarnochbygg.se	0494-10400										
150	"Braås Järnhandel"	"SJÖSÅS KRUTHUSET"	"363 91"	BRAÅS	0		"2025-10-07 07:34:00"	Y					0	192	0	"MAX 135cm"		MG					61	SWE			info@braasjarn.se	0474-30330										
154	"Lövångers Järn & Maskin"	"Kungsvägen 20"	93261	Lövånger	0		"2026-01-05 12:12:01"	Y					0	192	0	"MAX 135cm"		MG					57	SWE			info@lovangersmaskin.se	0913-10038										
160	"Fjugesta Järn & Färg"	"LETSTIGEN 21"	"716 30"	FJUGESTA	0		"2026-04-29 09:13:40"	Y					0	192	0	"Bygg på höjden Max 180 cm"		MG					40	SWE			info@fjugestajarnfarg.se	0585-31225									Y	
163	"Degerfors Järn & Färghandel"	"KVARNBERGSVÄGEN 1"	"693 35"	DEGERFORS	0		"2026-03-24 09:11:00"	Y					0	192	0	"Bygg på höjden Max 180 cm"		MG					78	SWE			info.degerfors@svenskahem.se	0586-44388										
166	"Handelsgruppen  Malung"	"HANTVERKARGATAN 42"	"782 34"	MALUNG	0		"2026-01-05 12:24:01"	Y					0	192	0	"Bygg på höjden Max 180 cm"		MG					74	SWE			malung@handelsgruppen.se	010-4719620										
168	"Handelsgruppen Vansbro"	"BERGSLAGSVÄGEN 1"	"786 33"	VANSBRO	0		"2026-01-05 12:12:01"	Y					0	192	0	"Bygg på höjden Max 180 cm"		MG					74	SWE			christoffer.bohlin@handelsgruppen.se	010-4719570										
169	"Dorotea Järnhandel"				0		"2026-01-05 12:14:00"	Y					0	192	0			MG																				
170	"Bolist Hallen"	"NEDRE BYNOM 565"	"845 91"	HALLEN	0		"2026-03-24 09:19:00"	Y					0	192	0	"MAX 135cm"		MG					55	SWE			bitte@hallenselobygg.com	0643-30380										
