"Dimension Id"	Beskrivning	Längd	Bredd	Höjd
100688	Varumottagning	99	99	99
100689		590	390	260
100690		1200	800	1190
100691		580	90	380
100692		75	240	75
100693		90	580	380
100694		390	440	60
100695		260	145	500
100696		400	800	110
100697		305	521	254
100698		90	220	10
100699		130	260	30
100700		143	385	300
100701		780	590	1400
100702		65	290	65
100703	"Liten Kartong"	"34,5"	"25,6"	13
100704	"Mellan Kartong"	57	38	19
100705	"Stor Kartong"	57	38	38
100706		15	15	15
100707		20	20	20
100708		30	30	30
100709		25	25	25
100710		"19,2"	"8,8"	12
100711		30	26	"6,7"
100712		76	43	39
100713		28	28	18
100714		10	10	9
100715		"13,7"	"11,8"	"9,5"
100716		"59,5"	"49,5"	34
100717		79	59	"33,3"
100718		76	39	43
100719		"79,5"	56	34
100720		"36,1"	"33,7"	"6,1"
100721		24	21	10
100722		21	10	23
100723		"9,5"	"5,6"	"17,3"
100724		"102,6"	60	"33,7"
100725		80	"55,5"	49
100726		"116,3"	103	26
100727		45	44	28
100728		80	55	"30,5"
100729		36	19	21
100730		"26,5"	"23,9"	"13,6"
100731		25	18	2
100732		62	"59,5"	"15,5"
100733		"19,2"	12	"8,8"
100734		"39,9"	"29,9"	"15,2"
100735		"17,6"	"10,8"	9
100736		52	"14,8"	"24,2"
100737		115	46	28
100738		50	21	"23,5"
100739		69	"52,5"	35
100740		114	78	"32,5"
100741		"22,5"	13	"20,5"
100742		170	112	"83,7"
100743		90	56	"51,5"
100744		"19,5"	"8,8"	17
100745		"49,5"	10	"2,5"
100746		"92,5"	"55,5"	49
100747		20	3	5
100748		"3,7"	"12,7"	"10,3"
100749		"49,4"	"27,2"	"25,4"
100750		79	59	"34,8"
100751		101	59	53
100752		92	51	49
100753		"48,6"	"22,9"	"27,3"
100754		20	12	"4,5"
100755		90	48	34
100756		64	56	42
100757		22	22	"6,5"
100758		"117,4"	"47,6"	"31,7"
100759		25	25	7
100760		"85,5"	56	49
100761		12	22	21
100762		"17,8"	"6,4"	"17,8"
100763		"57,7"	"23,3"	"82,4"
100764		"87,5"	58	"31,8"
100765		"76,5"	39	"43,5"
100766		"50,5"	"28,5"	"25,5"
100767		"44,5"	23	35
100768		"26,5"	"15,8"	"33,1"
100769		"14,6"	9	"13,7"
100770		120	54	55
100771		201	"85,9"	"91,5"
100772		41	"65,3"	25
100773		16	"12,5"	"10,5"
100774		15	"9,5"	4
100775		"14,7"	"6,9"	"2,3"
100776		201	"91,5"	99
100777		39	11	"8,5"
100778		"81,1"	"54,9"	"41,5"
100779		80	"30,5"	55
100780		21	12	14
100781		40	"12,5"	"6,5"
100782		"16,9"	"12,4"	"8,2"
100783		27	8	"18,5"
100784		18	13	8
100785		"48,5"	21	24
100786		"44,7"	21	"15,1"
100787		26	47	25
100788		95	52	46
100789		"18,5"	7	"16,5"
100790		"58,4"	"6,4"	"4,5"
100791		64	56	41
100792		37	47	8
100793		"18,3"	"9,5"	"17,5"
100794		"20,8"	"11,5"	"10,3"
100795		"53,4"	"33,5"	"51,6"
100796		53	14	30
100797		18	9	15
100798		"25,5"	"8,2"	"16,5"
100799		"40,3"	"14,6"	"18,8"
100800		70	"39,5"	38
100801		"22,5"	27	50
100802		"116,3"	"25,6"	89
100803		"78,5"	59	"33,3"
100804		"14,6"	"13,7"	9
100805		"16,5"	11	"1,2"
100806		28	12	4
100807		27	"12,5"	30
100808		"23,7"	"20,8"	"12,2"
100809		17	5	20
100810		90	45	50
100811		6	12	6
100812		"18,8"	9	20
100813		18	17	3
100814		"16,5"	"11,7"	9
100815		"111,5"	"89,5"	"28,3"
100816		"73,4"	"44,9"	"40,9"
100817		110	68	"49,5"
100818		18	"17,5"	"9,2"
100819		"92,5"	"57,5"	49
100820		"116,2"	"24,9"	"83,9"
100821		"23,7"	"20,8"	"10,3"
100822		12	5	15
100823		170	"83,7"	112
100824		"91,5"	51	"48,5"
100825		"18,1"	"12,5"	"7,7"
100826		"15,8"	11	"6,1"
100827		89	44	70
100828		"19,5"	"9,5"	"11,1"
100829		170	76	"83,2"
100830		13	"10,5"	"1,5"
100831		99	59	31
100832		"68,8"	"41,4"	"33,6"
100833		6	10	"3,5"
100834		"29,3"	"8,3"	"4,7"
100835		"14,6"	9	"9,7"
100836		"21,9"	"7,9"	"12,1"
100837		46	"23,8"	"25,9"
100838		59	79	"34,8"
100839		12	38	25
100840		"26,6"	"25,1"	"7,6"
100841		"19,5"	"19,5"	7
100842		15	38	"4,5"
100843		"48,5"	"21,5"	24
100844		"116,3"	103	"25,6"
100845		19	10	21
100846		42	63	25
100847		30	3	5
100848		3	14	14
100849		"17,8"	13	13
100850		72	60	40
100851		81	10	19
100852		15	14	10
100853		72	"59,5"	"27,5"
100854		"20,5"	"6,6"	16
100855		23	18	9
100856		75	50	15
100857		"18,4"	"16,7"	"8,1"
100858		"19,5"	21	21
100859		"9,8"	"4,4"	"1,5"
100860		85	70	15
100861		"19,3"	"9,7"	"6,5"
100862		"10,1"	"24,2"	"27,8"
100863		8	"37,5"	40
100864		74	40	24
100865		"22,4"	"22,4"	22
100866		50	40	8
100867		36	24	4
100868		4	16	48
100869		40	40	29
100870		40	40	40
100871		65	50	14
100872		25	15	15
100873		62	42	26
100874		3	1	"1,5"
100875		44	39	6
100876		5	19	22
100877		"52,1"	"30,5"	"25,4"
100878		"39,37"	"37,47"	"28,58"
100879		"7,8"	"17,5"	25
100880		37	40	27
100881	EU-pall	120	80	180
100882		35	26	1
100883		"21,5"	10	"2,5"
100884		"61,5"	32	5
100885		"33,5"	25	12
100886		32	24	3
100887		60	30	20
100888		"104,5"	26	16
100889		34	24	2
100890		80	35	12
100891		77	37	9
100892		5	23	32
100893		"35,3"	"24,6"	"17,5"
100894		10	25	35
100895		32	23	5
100896		"34,5"	"23,8"	"17,9"
100897		"9,6"	"8,8"	"1,4"
100898		75	70	"0,4"
100899		10	30	25
100900		"0,5"	"4,5"	47
100901		10	2	4
100902		"12,6"	15	30
100903		20	30	12
100904		10	10	2
100905		20	20	80
100906		2	"0,6"	30
100907		1	"5,5"	34
100908		2	"0,6"	45
100909		2	"0,6"	35
100910		80	20	20
100911		47	20	30
100912		12	8	1
100913		120	200	200
100914		31	23	25
100915		7	"6,4"	"5,7"
100916		156	70	"4,5"
100917		"4,5"	24	24
100918		2	"0,6"	50
100919		2	"0,6"	40
100920		"12,5"	8	4
100921		"0,1"	5	5
100922		6	2	2
100923		10	6	2
100924		17	16	7
