"Area nr"	Prioritet	Ankomst	Starttid	Kund	Ordernr	Transportör	Status	Timestamp	Zon	Aktiv	"Max pall"	"Min pall"	Kund	Transportör	Yta	"Dispatch dag"	Noteringar	Lagerplats	Bolag	Rutt	Stopp	Användare
1							30	"2026-03-10 20:04:11"							UTL01	1		UTL01	GG			FILI10
1							30	"2024-11-05 09:07:00"							UTL01	2		UTL01	GG			IT
1							30	"2024-11-05 09:07:00"							UTL01	3		UTL01	GG			IT
1							30	"2024-11-05 09:07:00"							UTL01	4		UTL01	GG			IT
1							30	"2024-11-05 09:07:00"							UTL01	5		UTL01	GG			IT
1							30	"2024-11-05 09:07:00"							UTL01	6		UTL01	GG			IT
10							30	"2025-12-23 09:37:43"							UTL10	1		UTL10	GG			IT
10							30	"2026-03-09 08:13:04"							UTL10	2		UTL10	GG			FILI10
10							30	"2024-11-05 09:07:00"							UTL10	3		UTL10	GG			IT
10							30	"2024-11-05 09:07:00"							UTL10	4		UTL10	GG			IT
10							30	"2024-11-05 09:07:00"							UTL10	5		UTL10	GG			IT
10							30	"2024-11-05 09:07:00"							UTL10	6		UTL10	GG			IT
102							30	"2024-11-29 13:14:00"							PORT25	2		PORT25	GG			IT
102							30	"2024-11-29 13:14:00"							PORT25	3		PORT25	GG			IT
102							30	"2025-02-26 11:07:29"							PORT25	4		PORT25	GG			HANN85
102							30	"2024-11-29 13:14:00"							PORT25	5		PORT25	GG			IT
102							30	"2024-11-29 13:14:00"							PORT25	6		PORT25	GG			IT
102							30	"2025-04-16 07:13:20"							PORT25	7		PORT25	GG			
103							30	"2024-11-29 13:14:00"							PORT26	1		PORT26	GG			IT
103							30	"2024-11-29 13:14:00"							PORT26	2		PORT26	GG			IT
103							30	"2024-11-29 13:14:00"							PORT26	3		PORT26	GG			IT
103							30	"2024-11-29 13:14:00"							PORT26	4		PORT26	GG			IT
103							30	"2024-11-29 13:14:00"							PORT26	5		PORT26	GG			IT
103							30	"2024-11-29 13:14:00"							PORT26	6		PORT26	GG			IT
104							30	"2024-11-29 13:14:00"							PORT27	1		PORT27	GG			IT
104							30	"2024-11-29 13:14:00"							PORT27	2		PORT27	GG			IT
104							30	"2024-11-29 13:14:00"							PORT27	3		PORT27	GG			IT
104							30	"2024-11-29 13:14:00"							PORT27	4		PORT27	GG			IT
104							30	"2024-11-29 13:14:00"							PORT27	5		PORT27	GG			IT
104							30	"2024-11-29 13:14:00"							PORT27	6		PORT27	GG			IT
105							30	"2024-11-29 13:14:00"							PORT28	1		PORT28	GG			IT
105							30	"2025-01-28 08:21:00"							PORT28	2		PORT28	GG			ELLI92
105							30	"2024-11-29 13:14:00"							PORT28	3		PORT28	GG			IT
105							30	"2024-11-29 13:14:00"							PORT28	4		PORT28	GG			IT
105							30	"2024-11-29 13:14:00"							PORT28	5		PORT28	GG			IT
105							30	"2024-11-29 13:14:00"							PORT28	6		PORT28	GG			IT
106							30	"2025-02-21 14:29:00"							PORT29	1		PORT29	GG			OSCA45
106							30	"2024-11-29 13:14:00"							PORT29	2		PORT29	GG			IT
106							30	"2024-11-29 13:14:00"							PORT29	3		PORT29	GG			IT
106							30	"2024-11-29 13:14:00"							PORT29	4		PORT29	GG			IT
106							30	"2024-11-29 13:14:00"							PORT29	5		PORT29	GG			IT
106							30	"2024-11-29 13:14:00"							PORT29	6		PORT29	GG			IT
107							30	"2024-11-29 13:14:00"							PORT30	1		PORT30	GG			IT
107							30	"2024-11-29 13:14:00"							PORT30	2		PORT30	GG			IT
107							30	"2024-11-29 13:14:00"							PORT30	3		PORT30	GG			IT
107							30	"2024-11-29 13:14:00"							PORT30	4		PORT30	GG			IT
107							30	"2024-11-29 13:14:00"							PORT30	5		PORT30	GG			IT
107							30	"2024-11-29 13:14:00"							PORT30	6		PORT30	GG			IT
108							30	"2024-11-29 13:14:00"							PORT31	1		PORT31	GG			IT
108							30	"2024-11-29 13:14:00"							PORT31	2		PORT31	GG			IT
108							30	"2024-11-29 13:14:00"							PORT31	3		PORT31	GG			IT
108							30	"2024-11-29 13:14:00"							PORT31	4		PORT31	GG			IT
108							30	"2024-11-29 13:14:00"							PORT31	5		PORT31	GG			IT
108							30	"2024-11-29 13:14:00"							PORT31	6		PORT31	GG			IT
109							30	"2024-11-29 13:14:00"							PORT32	1		PORT32	GG			IT
109							30	"2024-11-29 13:14:00"							PORT32	2		PORT32	GG			IT
109							30	"2024-11-29 13:14:00"							PORT32	3		PORT32	GG			IT
109							30	"2024-11-29 13:14:00"							PORT32	4		PORT32	GG			IT
109							30	"2024-11-29 13:14:00"							PORT32	5		PORT32	GG			IT
109							30	"2024-11-29 13:14:00"							PORT32	6		PORT32	GG			IT
11							30	"2025-12-23 09:37:43"							UTL11	1		UTL11	GG			IT
11							30	"2025-12-22 10:29:54"							UTL11	2		UTL11	GG			IT
11							30	"2024-11-05 09:07:00"							UTL11	3		UTL11	GG			IT
11							30	"2024-11-05 09:07:00"							UTL11	4		UTL11	GG			IT
11							30	"2024-11-05 09:07:00"							UTL11	5		UTL11	GG			IT
