Artikel	Lager	Bolag	Nollinventering	"Hantera saldo"	Timestamp	Klassificering	Skapad	Plockzon	"Vikt tolerans"	"Zon klass"	"Tillåt uppdrag"	"Ignorera EAN"	"Splitta helpalls gen. med"	"Automatiserat robotplock"	"Ej staplingsbar"	"Alltid farligt gods"	"Helpalls avvikelse %"
10001	404	GG	Y	N	"2025-10-03 10:25:24"						Y	False	0	False	Y		
1000105	404	GG	Y	Y	"2025-10-03 10:25:28"	F					Y	False	0	False	Y		
10002	404	GG	Y	N	"2025-10-03 10:25:31"						Y	False	0	False	Y		
1000226	404	GG	Y	Y	"2025-10-03 10:25:35"	H					Y	False	0	False	Y		
1000231	404	GG	Y	Y	"2025-10-03 10:25:38"	E					Y	False	0	False	Y		
1000232	404	GG	Y	Y	"2024-10-04 00:15:59"	G					Y	False	0	False	N		
1000233	404	GG	Y	Y	"2024-10-04 00:12:41"	G					Y	False	0	False	N		
1000279	404	GG	Y	Y	"2024-10-04 00:14:05"	H					Y	False	0	False	N		
10003	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10004	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1000448	404	GG	Y	Y	"2024-10-04 00:15:25"	H					Y	False	0	False	N		
1000490	404	GG	Y	Y	"2024-10-03 14:40:08"	E					Y	False	0	False	N		
10005	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10006	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10007	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10008	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1000868	404	GG	Y	Y	"2025-06-17 10:24:28"	A					Y	False	0	False	Y		
1000875	404	GG	Y	Y	"2025-06-17 10:24:47"	A					Y	False	0	False	Y		
1000876	404	GG	Y	Y	"2024-10-03 13:08:40"	A					Y	False	0	False	N		
10009	404	GG	Y	N	"2025-06-18 15:21:55"						Y	False	0	False	N		
1000953	404	GG	Y	Y	"2024-10-03 10:21:23"	E					Y	False	0	False	N		
1000956	404	GG	Y	Y	"2024-10-04 00:10:56"	E					Y	False	0	False	N		
1000957	404	GG	Y	Y	"2024-10-04 00:10:56"	E					Y	False	0	False	N		
1000968	404	GG	Y	Y	"2024-10-03 10:21:28"						Y	False	0	False	N		
1000970	404	GG	Y	Y	"2024-10-04 00:13:17"						Y	False	0	False	N		
1000973	404	GG	Y	Y	"2024-10-04 00:16:02"						Y	False	0	False	N		
1000974	404	GG	Y	Y	"2024-10-04 00:12:59"						Y	False	0	False	N		
1000975	404	GG	Y	Y	"2024-10-04 00:07:55"						Y	False	0	False	N		
1000977	404	GG	Y	Y	"2024-10-04 00:12:28"						Y	False	0	False	N		
1000978	404	GG	Y	Y	"2024-10-03 10:21:39"						Y	False	0	False	N		
1000979	404	GG	Y	Y	"2024-10-03 10:21:38"						Y	False	0	False	N		
1000981	404	GG	Y	Y	"2024-10-03 10:21:32"						Y	False	0	False	N		
1000987	404	GG	Y	Y	"2024-10-04 00:07:54"						Y	False	0	False	N		
1000989	404	GG	Y	Y	"2024-10-04 00:08:29"						Y	False	0	False	N		
1000991	404	GG	Y	Y	"2024-10-03 10:21:38"						Y	False	0	False	N		
1000992	404	GG	Y	Y	"2024-10-03 10:21:23"						Y	False	0	False	N		
1000993	404	GG	Y	Y	"2024-10-03 10:21:50"						Y	False	0	False	N		
1000996	404	GG	Y	Y	"2024-10-04 00:10:02"						Y	False	0	False	N		
1000997	404	GG	Y	Y	"2024-10-04 00:07:55"						Y	False	0	False	N		
1000998	404	GG	Y	Y	"2024-10-04 00:16:43"						Y	False	0	False	N		
10010	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1001001	404	GG	Y	Y	"2024-10-03 10:21:49"						Y	False	0	False	N		
1001002	404	GG	Y	Y	"2024-10-03 10:21:51"						Y	False	0	False	N		
1001003	404	GG	Y	Y	"2024-10-04 00:12:45"						Y	False	0	False	N		
1001005	404	GG	Y	Y	"2024-10-03 10:21:50"						Y	False	0	False	N		
1001010	404	GG	Y	Y	"2024-10-04 00:16:44"						Y	False	0	False	N		
1001011	404	GG	Y	Y	"2024-10-03 10:21:58"						Y	False	0	False	N		
1001012	404	GG	Y	Y	"2024-10-03 10:21:33"						Y	False	0	False	N		
1001015	404	GG	Y	Y	"2024-10-03 12:48:33"						Y	False	0	False	N		
1001016	404	GG	Y	Y	"2024-10-04 00:12:45"						Y	False	0	False	N		
1001017	404	GG	Y	Y	"2024-10-03 10:21:23"						Y	False	0	False	N		
1001020	404	GG	Y	Y	"2024-10-03 10:21:23"						Y	False	0	False	N		
1001021	404	GG	Y	Y	"2024-10-03 10:21:33"						Y	False	0	False	N		
1001022	404	GG	Y	Y	"2024-10-04 00:07:55"						Y	False	0	False	N		
1001026	404	GG	Y	Y	"2024-10-03 11:22:23"						Y	False	0	False	N		
1001027	404	GG	Y	Y	"2024-10-03 10:21:57"						Y	False	0	False	N		
1001028	404	GG	Y	Y	"2024-10-03 10:21:28"						Y	False	0	False	N		
1001031	404	GG	Y	Y	"2024-10-04 00:13:17"						Y	False	0	False	N		
1001032	404	GG	Y	Y	"2024-10-03 10:21:28"						Y	False	0	False	N		
1001033	404	GG	Y	Y	"2024-10-03 10:21:49"						Y	False	0	False	N		
1001036	404	GG	Y	Y	"2024-10-03 10:21:57"						Y	False	0	False	N		
1001037	404	GG	Y	Y	"2024-10-03 10:21:58"						Y	False	0	False	N		
1001038	404	GG	Y	Y	"2024-10-03 10:21:49"						Y	False	0	False	N		
10011	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1001129	404	GG	Y	Y	"2024-10-04 00:07:45"	H					Y	False	0	False	N		
1001130	404	GG	Y	Y	"2024-10-03 11:22:34"	H					Y	False	0	False	N		
1001131	404	GG	Y	Y	"2024-10-04 00:11:04"	H					Y	False	0	False	N		
1001132	404	GG	Y	Y	"2024-10-04 00:08:29"	H					Y	False	0	False	N		
1001134	404	GG	Y	Y	"2024-10-03 11:22:32"	H					Y	False	0	False	N		
1001145	404	GG	Y	Y	"2024-10-03 10:21:33"	H					Y	False	0	False	N		
1001146	404	GG	Y	Y	"2024-10-03 10:21:57"	H					Y	False	0	False	N		
1001147	404	GG	Y	Y	"2024-10-03 10:21:51"	H					Y	False	0	False	N		
1001148	404	GG	Y	Y	"2024-10-03 10:21:23"	H					Y	False	0	False	N		
1001150	404	GG	Y	Y	"2024-10-03 10:21:45"	H					Y	False	0	False	N		
1001151	404	GG	Y	Y	"2024-10-03 10:21:51"	H					Y	False	0	False	N		
1001156	404	GG	Y	Y	"2024-10-03 10:21:32"	H					Y	False	0	False	N		
1001157	404	GG	Y	Y	"2024-10-03 10:21:57"	H					Y	False	0	False	N		
1001163	404	GG	Y	Y	"2024-10-03 10:21:38"	H					Y	False	0	False	N		
1001165	404	GG	Y	Y	"2024-10-03 10:21:45"	H					Y	False	0	False	N		
1001173	404	GG	Y	Y	"2024-10-03 10:21:45"	H					Y	False	0	False	N		
1001176	404	GG	Y	Y	"2024-10-03 10:21:37"	H					Y	False	0	False	N		
1001192	404	GG	Y	Y	"2024-10-04 00:08:06"	H					Y	False	0	False	N		
1001193	404	GG	Y	Y	"2024-10-03 10:21:28"	H					Y	False	0	False	N		
10012	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1001223	404	GG	Y	Y	"2024-10-03 10:21:45"	H					Y	False	0	False	N		
1001224	404	GG	Y	Y	"2024-10-03 16:51:39"	H					Y	False	0	False	N		
1001225	404	GG	Y	Y	"2024-10-03 10:21:28"	H					Y	False	0	False	N		
1001227	404	GG	Y	Y	"2024-10-04 00:11:07"	H					Y	False	0	False	N		
1001228	404	GG	Y	Y	"2024-10-03 14:14:48"	H					Y	False	0	False	N		
1001229	404	GG	Y	Y	"2024-10-04 00:08:06"	H					Y	False	0	False	N		
1001249	404	GG	Y	Y	"2024-10-03 10:21:28"	H					Y	False	0	False	N		
1001250	404	GG	Y	Y	"2024-10-03 10:21:38"	H					Y	False	0	False	N		
1001254	404	GG	Y	Y	"2024-10-04 00:14:25"	F					Y	False	0	False	N		
1001255	404	GG	Y	Y	"2024-10-04 00:14:52"	F					Y	False	0	False	N		
1001256	404	GG	Y	Y	"2024-10-04 00:11:48"	F					Y	False	0	False	N		
1001257	404	GG	Y	Y	"2024-10-04 00:14:52"	F					Y	False	0	False	N		
1001265	404	GG	Y	Y	"2024-10-03 11:22:31"	H					Y	False	0	False	N		
1001266	404	GG	Y	Y	"2024-10-03 10:21:37"	H					Y	False	0	False	N		
1001267	404	GG	Y	Y	"2024-10-03 10:21:57"	H					Y	False	0	False	N		
1001268	404	GG	Y	Y	"2024-10-03 10:21:27"	H					Y	False	0	False	N		
1001285	404	GG	Y	Y	"2024-10-04 00:13:15"	H					Y	False	0	False	N		
10013	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10014	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10015	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1001568	404	GG	Y	Y	"2024-10-03 10:21:44"	H					Y	False	0	False	N		
10016	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10017	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10018	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10019	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1001900	404	GG	Y	Y	"2024-10-04 00:13:01"	B					Y	False	0	False	N		
10020	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1002015	404	GG	Y	Y	"2024-10-03 10:21:58"	H					Y	False	0	False	N		
1002016	404	GG	Y	Y	"2024-10-03 10:21:44"	H					Y	False	0	False	N		
1002017	404	GG	Y	Y	"2024-10-04 00:12:58"	H					Y	False	0	False	N		
1002081	404	GG	Y	Y	"2024-10-04 00:13:48"	H					Y	False	0	False	N		
1002084	404	GG	Y	Y	"2025-10-02 10:44:10"	F					Y	False	0	False	Y		
1002086	404	GG	Y	Y	"2025-06-17 10:25:24"	F					Y	False	0	False	Y		
1002087	404	GG	Y	Y	"2024-10-04 00:15:30"	F					Y	False	0	False	N		
10021	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1002100	404	GG	Y	Y	"2024-10-04 00:10:08"	F					Y	False	0	False	N		
1002112	404	GG	Y	Y	"2025-06-17 10:26:26"	F					Y	False	0	False	Y		
10022	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1002284	404	GG	Y	Y	"2024-10-04 00:15:31"	F					Y	False	0	False	N		
10023	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10024	S1	S1	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10025	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10026	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1002661	404	GG	Y	Y	"2024-10-04 00:12:59"	F					Y	False	0	False	N		
1002662	404	GG	Y	Y	"2024-10-04 00:12:59"	F					Y	False	0	False	N		
1002682	404	GG	Y	Y	"2024-10-04 00:09:50"	F					Y	False	0	False	N		
1002683	404	GG	Y	Y	"2024-10-04 00:14:04"	F					Y	False	0	False	N		
1002694	404	GG	Y	Y	"2024-10-04 00:10:08"	H					Y	False	0	False	N		
1002695	404	GG	Y	Y	"2024-10-04 00:11:42"	H					Y	False	0	False	N		
1002696	404	GG	Y	Y	"2024-10-04 00:10:02"	H					Y	False	0	False	N		
1002697	404	GG	Y	Y	"2024-10-04 00:15:31"	H					Y	False	0	False	N		
1002698	404	GG	Y	Y	"2024-10-04 00:16:42"	H					Y	False	0	False	N		
1002699	404	GG	Y	Y	"2024-10-04 00:13:30"	H					Y	False	0	False	N		
10027	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1002716	404	GG	Y	Y	"2024-10-04 00:14:06"	H					Y	False	0	False	N		
10028	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10029	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10030	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10031	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10032	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10033	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1003303	404	GG	Y	Y	"2024-10-29 15:33:40"	F					Y	False	0	False	N		
1003306	404	GG	Y	Y	"2024-10-29 15:32:20"	F					Y	False	0	False	N		
1003307	404	GG	Y	Y	"2024-10-29 15:33:32"	F					Y	False	0	False	N		
1003308	404	GG	Y	Y	"2024-10-29 15:33:37"	F					Y	False	0	False	N		
1003310	404	GG	Y	Y	"2024-10-29 15:34:14"	F					Y	False	0	False	N		
1003311	404	GG	Y	Y	"2024-10-29 15:35:10"	F					Y	False	0	False	N		
1003312	404	GG	Y	Y	"2024-10-29 15:34:58"	F					Y	False	0	False	N		
1003313	404	GG	Y	Y	"2024-10-29 15:33:42"	F					Y	False	0	False	N		
1003314	404	GG	Y	Y	"2024-10-29 15:32:22"	F					Y	False	0	False	N		
1003315	404	GG	Y	Y	"2024-10-29 15:32:46"	F					Y	False	0	False	N		
1003316	404	GG	Y	Y	"2024-10-29 15:35:05"	F					Y	False	0	False	N		
1003317	404	GG	Y	Y	"2024-10-29 15:33:09"	F					Y	False	0	False	N		
1003318	404	GG	Y	Y	"2024-10-29 15:32:01"	F					Y	False	0	False	N		
1003319	404	GG	Y	Y	"2024-10-29 15:34:10"	F					Y	False	0	False	N		
1003321	404	GG	Y	Y	"2024-10-29 15:34:11"	F					Y	False	0	False	N		
1003322	404	GG	Y	Y	"2024-10-29 15:33:33"	F					Y	False	0	False	N		
1003376	404	GG	Y	Y	"2024-10-04 00:12:04"	B					Y	False	0	False	N		
10034	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1003404	404	GG	Y	Y	"2024-10-04 00:16:40"	B					Y	False	0	False	N		
1003409	404	GG	Y	Y	"2024-10-03 15:35:54"	B					Y	False	0	False	N		
1003411	404	GG	Y	Y	"2024-10-04 00:13:30"	B					Y	False	0	False	N		
1003413	404	GG	Y	Y	"2024-10-04 00:11:31"	B					Y	False	0	False	N		
1003415	404	GG	Y	Y	"2024-10-04 00:16:39"	B					Y	False	0	False	N		
1003417	404	GG	Y	Y	"2024-10-04 00:13:32"	B					Y	False	0	False	N		
1003430	404	GG	Y	Y	"2024-10-04 00:15:28"	B					Y	False	0	False	N		
1003482	404	GG	Y	Y	"2024-10-04 00:14:56"	B					Y	False	0	False	N		
1003487	404	GG	Y	Y	"2024-10-04 00:14:57"	B					Y	False	0	False	N		
10035	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10036	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10037	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10038	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1003835	404	GG	Y	Y	"2024-10-04 00:16:03"	B					Y	False	0	False	N		
1003836	404	GG	Y	Y	"2024-10-03 14:40:13"	B					Y	False	0	False	N		
1003837	404	GG	Y	Y	"2024-10-03 14:40:10"	B					Y	False	0	False	N		
10039	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10040	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10041	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10042	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10043	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10044	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10045	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10046	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1004638	404	GG	Y	Y	"2024-10-04 00:14:26"	G					Y	False	0	False	N		
1004643	404	GG	Y	Y	"2024-10-04 00:10:01"	G					Y	False	0	False	N		
10047	JKP	MG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10048	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
10049	404	GG	Y	N	"2025-05-14 09:56:31"						Y	False	0	False	N		
1004913	404	GG	Y	Y	"2024-10-04 00:09:55"	H					Y	False	0	False	N		
1004914	404	GG	Y	Y	"2024-10-04 00:10:02"	H					Y	False	0	False	N		
