Lagerplats	Typ	Detalj	Clearing	X-koordinat	Y-koordinat	Timestamp	Multi	Sekvens	Checksiffra	"Visa saldo"	Påfyllning	"Max pall"	"Påfyllnings offset"	"Auto plac"	Klassificering	"Farligt gods"	Dimension
.SH111	S	H		0	0	"2026-02-09 14:59:55"	Y	0	2847	N			0				
.SH121	S	H		0	0	"2026-02-09 14:59:55"	Y	0	6392	N			0				
.SH131	S	H		0	0	"2026-02-09 14:59:55"	Y	0	7485	N			0				
.SH211	S	H		0	0	"2026-02-09 14:59:55"	Y	0	4529	N			0				
.SH221	S	H		0	0	"2026-02-09 14:59:55"	Y	0	8164	N			0				
.SH231	S	H		0	0	"2026-02-09 14:59:55"	Y	0	5738	N			0				
.SH311	S	H		0	0	"2026-02-09 14:59:55"	Y	0	9647	N			0				
.SH321	S	H		0	0	"2026-02-09 14:59:55"	Y	0	2389	N			0				
.SH331	S	H		0	0	"2026-02-09 14:59:55"	Y	0	6951	N			0				
.SH411	S	H		0	0	"2026-02-09 14:59:55"	Y	0	4276	N			0				
.SH421	S	H		0	0	"2026-02-09 14:59:55"	Y	0	8529	N			0				
.SH431	S	H		0	0	"2026-02-09 14:59:55"	Y	0	3746	N			0				
.SH511	S	H		0	0	"2026-02-09 14:59:55"	Y	0	9815	N			0				
.SH521	S	H		0	0	"2026-02-09 14:59:55"	Y	0	5468	N			0				
.SH531	S	H		0	0	"2026-02-09 14:59:55"	Y	0	7239	N			0				
.SH611	S	H		0	0	"2026-02-09 14:59:55"	Y	0	8642	N			0				
.SH621	S	H		0	0	"2026-02-09 14:59:55"	Y	0	3957	N			0				
.SH631	S	H		0	0	"2026-02-09 14:59:55"	Y	0	6724	N			0				
.SH711	S	H		0	0	"2026-02-09 14:59:55"	Y	0	4896	N			0				
.SH721	S	H		0	0	"2026-02-09 14:59:55"	Y	0	9572	N			0				
.SH731	S	H		0	0	"2026-02-09 14:59:55"	Y	0	2467	N			0				
.SH811	S	H		0	0	"2026-02-09 14:59:55"	Y	0	8354	N			0				
.SH821	S	H		0	0	"2026-02-09 14:59:55"	Y	0	6918	N			0				
.SH831	S	H		0	0	"2026-02-09 14:59:55"	Y	0	7286	N			0				
.SH911	S	H		0	0	"2026-02-09 14:59:55"	Y	0	4597	N			0				
.SH921	S	H		0	0	"2026-02-09 14:59:55"	Y	0	8742	N			0				
.SH931	S	H		0	0	"2026-02-09 14:59:55"	Y	0	5369	N			0				
.SV111	S	H		0	0	"2026-02-09 14:59:55"	Y	0	2473	N			0				
.SV112	S	H		0	0	"2026-02-09 14:59:55"	Y	0	1639	N			0				
.SV113A	S	H		0	0	"2026-02-09 14:59:55"	Y	0	6946	N			0				
.SV113B	S	H		0	0	"2026-02-09 14:59:55"	Y	0	3450	N			0				
.SV121	S	H		0	0	"2026-02-09 14:59:55"	Y	0	7349	N			0				
.SV122	S	H		0	0	"2026-02-09 14:59:55"	Y	0	2527	N			0				
.SV123A	S	H		0	0	"2026-02-09 14:59:55"	Y	0	4436	N			0				
.SV123B	S	H		0	0	"2026-02-09 14:59:55"	Y	0	4733	N			0				
.SV131	S	H		0	0	"2026-02-09 14:59:55"	Y	0	1343	N			0				
.SV132	S	H		0	0	"2026-02-09 14:59:55"	Y	0	7962	N			0				
.SV133A	S	H		0	0	"2026-02-09 14:59:55"	Y	0	8375	N			0				
.SV133B	S	H		0	0	"2026-02-09 14:59:55"	Y	0	6074	N			0				
.SV211	S	H		0	0	"2026-02-09 14:59:55"	Y	0	9169	N			0				
