artikelnummer,max,pallid
10001,1.0,468426
10002,1.0,513508
1000279,240.0,680367
10003,1.0,458604
10004,1.0,468397
1000490,64.0,774252
10005,1.0,468392
10006,1.0,458631
1000868,40.0,724125
1000875,40.0,711769
10009,1.0,766977
10010,1.0,458651
10011,1.0,475218
1001254,100.0,701391
1001255,100.0,701372
1001256,65.0,701469
1001257,75.0,701458
10018,1.0,500796
10019,1.0,463879
1001900,192.0,765777
1002084,4.0,394317
1002086,4.0,778341
1002087,80.0,781832
1002112,42.0,764539
10023,1.0,458714
10026,1.0,532512
1002662,180.0,465479
1002683,96.0,796195
10031,1.0,458746
10033,2.0,526257
1003404,108.0,779998
1003411,21.0,739256
1003413,21.0,780002
1003415,21.0,773118
1003417,21.0,779938
1003430,30.0,758658
1003487,108.0,765209
1004638,108.0,776012
1004643,108.0,776010
1004976,108.0,717450
1005023,15.0,777109
10056,1.0,459160
10057,1.0,459981
100688514,1076.0,354963
1007552,96.0,735539
1007553,96.0,715529
1007554,96.0,715537
1007555,80.0,748186
1007556,96.0,715544
1007557,96.0,715526
1007558,96.0,715536
1007559,80.0,748168
1007560,40.0,748204
1007561,64.0,715575
1008921,108.0,768204
1008922,102.0,779873
1008924,108.0,768201
1008926,108.0,684770
1008957,94.0,477835
1008958,80.0,506759
1008962,108.0,768202
1008964,108.0,768207
1009973,27.0,385056
1010843,42.0,781441
1011198,40.0,496472
1011548,668.0,774195
1011676,48.0,709907
1011677,60.0,597255
1011723,96.0,795869
1011724,96.0,689942
1011725,115.0,795319
1011728,96.0,785232
1015834,756.0,719689
1016222,120.0,677485
1018325,160.0,756238
1018410,572.0,623044
1018412,372.0,459808
1018421,173.0,779586
1018701,30.0,777000
1018854,2.0,773439
1018860,100.0,776042
1018861,650.0,754740
1018887,360.0,766507
1018888,360.0,796598
1018889,188.0,507047
1018890,360.0,796600
1018891,360.0,727801
1018895,210.0,766492
1018898,150.0,713571
1018956,100.0,780984
1018968,320.0,735282
1018987,6.0,741150
1018988,60.0,777002
1019021,18.0,712203
1019046,640.0,559974
1019101,96.0,778972
1019109,120.0,598701
1019110,32.0,711540
1019147,32.0,754750
1019266,36.0,518285
1019267,24.0,639725
1019327,50.0,796617
1019526,100.0,779617
1019529,100.0,773418
1019625,25.0,754799
1019779,10.0,664887
1020281,32.0,696713
1020475,1000.0,619257
1020663,2.0,795495
1027421,222.0,774958
1027424,90.0,792792
1027449,102.0,779190
1027492,24.0,779197
1027596,16.0,764217
1027617,6.0,721641
1027635,2.0,640454
102884425,432.0,437367
103044623,720.0,439853
103053012,380.0,440283
103136190,1000.0,461897
103222488,293.0,489005
103357383,320.0,458152
103357385,175.0,458278
103357483,1300.0,446697
103357486,410.0,457894
103385533,175.0,445207
103385540,360.0,437672
103415461,598.0,423332
103415462,130.0,437590
103421983,999.0,441916
103421989,75.0,439685
103422010,3064.0,458294
103428459,1106.0,439946
103429325,105.0,445606
103429342,712.0,445608
103429346,200.0,444853
103443700,600.0,446595
103451520,398.0,465345
103485792,54000.0,428703
103649970,175.0,440172
103649979,820.0,437956
103756721,3064.0,437322
104085335,145.0,446715
104085337,350.0,449394
104085344,80.0,445398
104093479,487.0,456083
104134952,3250.0,445692
104134954,3000.0,445691
104134955,125.0,445037
104156727,640.0,444975
104165301,550.0,277624
104175320,260.0,424407
104176794,240.0,465346
104195241,4571.0,444938
104195244,278.0,456123
104195245,382.0,456145
104195246,1596.0,457213
104195312,575.0,445040
104196668,175.0,461968
104199534,2200.0,420795
104211315,24.0,419130
1042310,1320.0,783428
1042373,400.0,367968
104241611,175.0,456048
104241640,215.0,449666
104241642,130.0,458270
104251033,340.0,439976
104251035,239.0,440041
104251202,680.0,439762
104251206,175.0,439759
104274614,291.0,441915
1042830,96.0,634670
104310852,125.0,326879
104310856,496.0,374829
104338595,640.0,293197
104338596,190.0,309667
104370820,150.0,458066
104370822,1024.0,456109
104370823,284.0,456260
104370825,1878.0,439842
104370826,300.0,439974
104376124,800.0,439837
104376126,1000.0,439951
104423765,144.0,383931
104425925,150.0,273378
104425927,300.0,276867
104450377,400.0,421213
104450650,392.0,458292
104457164,507.0,442749
104457640,36.0,445524
104457652,354.0,478401
104465433,300.0,417794
104471214,2986.0,444747
104471220,2000.0,444823
104471816,680.0,445523
104471819,175.0,444940
104471891,340.0,444770
104483819,120.0,336819
104483825,680.0,335902
104511537,125.0,277609
104511550,680.0,390534
104552604,283.0,456060
104553643,350.0,449643
104554135,500.0,456258
104554162,960.0,458274
104554169,175.0,458113
1045649,13.0,701168
1045651,13.0,484409
1045652,7.0,675229
1045660,6.0,440364
104579237,190.0,445109
104608291,200.0,437627
104654400,10000.0,462836
104654410,12000.0,465313
104684498,750.0,423293
104692544,269.0,449552
104696024,15.0,486707
104720117,439.0,444765
104720140,350.0,444762
104720964,270.0,445237
104720966,550.0,445612
104720968,2083.0,446964
104720969,850.0,445041
104720982,390.0,445043
104721392,1700.0,446588
104726355,127.0,458354
1047346,24.0,762747
104746963,124.0,486685
104746986,100.0,490246
104746989,397.0,490182
104747011,396.0,497472
104747013,394.0,499673
104747016,200.0,490174
104747019,300.0,497423
104747889,104.0,490422
104747898,300.0,491881
104747912,150.0,497425
104749170,283.0,497453
104749171,72.0,497477
104749173,30.0,497435
104749174,31.0,497488
104749175,65.0,497470
104749177,37.0,497489
104779955,125.0,453780
104780096,600.0,486068
104780098,900.0,449646
104780161,132.0,449669
104780231,175.0,421201
104780898,100.0,444796
104780912,250.0,458088
104780917,1200.0,458303
104780919,320.0,457879
104780921,100.0,458105
104783972,732.0,449642
1047964,12.0,607365
1047965,6.0,643852
104826426,700.0,458320
104826429,930.0,483577
104826443,175.0,483545
104827143,200.0,421199
104827222,997.0,453563
104827223,1268.0,458289
104827225,175.0,456263
104849777,175.0,439954
104850534,77.0,437545
104861156,170.0,437779
104865342,199.0,421455
104865347,1500.0,470745
104872392,780.0,439830
104878816,104.0,437429
104912342,170.0,437990
104912347,250.0,476983
104912351,500.0,429160
104917914,3355.0,439770
104930465,125.0,438416
104938623,329.0,453589
104938628,175.0,458288
104938640,316.0,458273
104938646,340.0,458151
104938657,400.0,447128
104938664,400.0,447130
104946408,100.0,494875
104946413,100.0,495018
104946416,95.0,497456
104946418,100.0,495020
104947504,420.0,456050
104971245,648.0,464757
104973438,2000.0,365201
104975627,328.0,365860
104975643,1008.0,437618
105008414,100.0,490177
105008417,75.0,490289
105008438,16.0,497496
105019531,125.0,440074
105019533,78.0,419293
105019537,1000.0,449671
105019538,720.0,423322
105019539,2000.0,423328
105019631,2500.0,429156
105019632,100.0,423336
105020619,75.0,327314
105020650,216.0,327316
105020652,546.0,327315
